CompanyID,Name,Type,Location,PartnershipLevel
49,King and Sons,Private,Ottawa,Collaborator
50,Harrison Group,Private,Ottawa,Collaborator
51,Rowland and Sons,Private,Toronto,Collaborator
52,Robbins-Pratt,Private,Vancouver,Strategic
53,"Watson, Anderson and Lee",Private,Vancouver,Collaborator
54,"Kim, Shaffer and Acosta",Private,Toronto,Strategic
55,"Booth, Flores and Lee",Government,Remote,Collaborator
56,Wilkerson PLC,Government,Ottawa,Strategic
57,"Gay, Kennedy and Austin",Government,Remote,Collaborator
58,Stone Inc,Private,Toronto,Collaborator
59,"King, Murphy and Peterson",Government,Ottawa,Collaborator
60,"Riley, Miller and Barker",Private,Toronto,Strategic
61,Patterson Inc,Government,Ottawa,Strategic
62,"Nelson, Wheeler and Turner",Government,Ottawa,Collaborator
63,Thompson-Rodriguez,Private,Toronto,Strategic
64,Ramos-Martin,Government,Toronto,Strategic
65,"Howard, Thomas and Herring",Government,Remote,Strategic
66,Kelly LLC,Private,Vancouver,Strategic
67,Woods-Melendez,Private,Ottawa,Strategic
68,Watts LLC,Private,Toronto,Collaborator
69,"Macdonald, Stewart and Dickerson",Government,Remote,Strategic
70,"Delgado, Anderson and Nelson",Government,Remote,Collaborator
71,"Love, Lambert and Mcneil",Government,Ottawa,Strategic
72,White Inc,Private,Vancouver,Collaborator
73,Greene LLC,Government,Ottawa,Strategic
74,"White, Ramirez and Lopez",Private,Vancouver,Collaborator
75,Nicholson-Foster,Government,Vancouver,Collaborator
76,Burnett Inc,Private,Remote,Collaborator
77,"Davis, Dickerson and Hoffman",Government,Remote,Strategic
78,Leonard-Carter,Government,Vancouver,Strategic
79,Roberts Group,Government,Vancouver,Strategic
80,Buchanan LLC,Private,Toronto,Collaborator
81,"Singh, Krause and Morrison",Government,Ottawa,Strategic
82,"Austin, Frank and Jones",Government,Ottawa,Collaborator
83,"Johnson, Hess and King",Private,Remote,Collaborator
84,Wilson Ltd,Government,Remote,Strategic
85,Jacobs Inc,Government,Vancouver,Strategic
86,"Padilla, Carey and Jones",Government,Vancouver,Strategic
87,"Herman, Melton and Grant",Government,Ottawa,Strategic
88,Galloway Ltd,Private,Toronto,Strategic
89,"White, Larson and Smith",Government,Vancouver,Strategic
90,Olsen-Richmond,Government,Ottawa,Strategic
91,"Clark, Cowan and Porter",Private,Remote,Strategic
92,Frank Group,Private,Ottawa,Strategic
93,Bennett-Brooks,Private,Ottawa,Strategic
94,"Villegas, Stevens and Martin",Private,Ottawa,Strategic
95,Smith-Newton,Private,Toronto,Collaborator
96,Willis-Flores,Private,Ottawa,Strategic
97,"Smith, Brown and Sanford",Private,Toronto,Collaborator
98,"Bishop, Figueroa and Mason",Private,Toronto,Collaborator
99,"House, Harris and Chandler",Private,Toronto,Strategic
100,Stout LLC,Private,Remote,Collaborator
101,"Hughes, Reynolds and Herrera",Government,Remote,Strategic
102,Nielsen-Morrow,Private,Ottawa,Strategic
103,"Morris, Curtis and Scott",Government,Ottawa,Strategic
104,Payne Inc,Private,Vancouver,Collaborator
105,Soto PLC,Government,Ottawa,Strategic
106,Sanchez Ltd,Private,Vancouver,Strategic
107,Mejia Group,Government,Ottawa,Collaborator
108,"Lee, Leonard and Hendricks",Private,Remote,Collaborator
109,Schmidt-Cochran,Government,Remote,Collaborator
110,Walton and Sons,Government,Remote,Strategic
111,"Moss, Davis and Hancock",Private,Remote,Collaborator
112,"Bennett, Cain and Carter",Private,Remote,Collaborator
113,"Richardson, Jones and Brandt",Private,Ottawa,Collaborator
114,Fisher PLC,Government,Vancouver,Strategic
115,Kirk PLC,Private,Toronto,Collaborator
116,Morales and Sons,Private,Toronto,Collaborator
117,"Kirby, Wilcox and Strickland",Government,Ottawa,Collaborator
118,Rush-Cummings,Government,Ottawa,Strategic
119,Bullock Inc,Private,Remote,Collaborator
120,Mitchell-Davis,Private,Toronto,Collaborator
121,"Gomez, Mann and Miller",Private,Ottawa,Strategic
122,Anderson-Harper,Government,Toronto,Strategic
123,"Foster, Garrison and Mcdaniel",Private,Ottawa,Collaborator
124,Gomez and Sons,Private,Ottawa,Strategic
125,"Hamilton, Rodriguez and Adams",Private,Toronto,Collaborator
126,Meadows-Hayes,Private,Remote,Collaborator
127,Brady LLC,Private,Vancouver,Collaborator
128,King Ltd,Government,Remote,Collaborator
129,Osborne-Whitehead,Private,Toronto,Collaborator
130,"Williams, Stephenson and Patrick",Government,Remote,Strategic
131,Martin Inc,Government,Vancouver,Collaborator
132,"Horton, Hansen and Austin",Private,Remote,Collaborator
133,Lee Group,Private,Vancouver,Collaborator
134,"Ward, Juarez and Miller",Government,Remote,Strategic
135,Meyer Group,Government,Ottawa,Collaborator
136,"Brown, King and Romero",Private,Toronto,Strategic
137,Johnson-Reed,Government,Toronto,Strategic
138,Boyer-James,Government,Remote,Strategic
139,Reed-Thornton,Private,Ottawa,Strategic
140,"Stevens, Harper and Fox",Government,Remote,Collaborator
141,"Martin, Mosley and Wilson",Government,Ottawa,Strategic
142,Washington LLC,Private,Toronto,Collaborator
143,Lewis-Gillespie,Government,Toronto,Collaborator
144,Davis-Robertson,Government,Vancouver,Collaborator
145,Sanchez Inc,Private,Remote,Collaborator
146,Moore-Harris,Government,Ottawa,Strategic
147,May-Blanchard,Private,Ottawa,Strategic
148,Davis-Robinson,Private,Vancouver,Strategic
149,Finley Inc,Private,Toronto,Collaborator
150,"Gilmore, Cole and Williams",Government,Vancouver,Strategic
151,Simon-Bridges,Government,Vancouver,Collaborator
152,"Harris, Dunn and Garcia",Private,Vancouver,Collaborator
153,Miller Inc,Government,Remote,Strategic
154,"Wise, Delacruz and Holmes",Government,Ottawa,Strategic
155,Peters Inc,Government,Ottawa,Collaborator
156,"Lee, Butler and Jones",Government,Ottawa,Collaborator
157,"Hunter, Santiago and Hunt",Government,Vancouver,Collaborator
158,"Thompson, Kennedy and Reynolds",Private,Ottawa,Strategic
159,"Haley, Garrett and Scott",Private,Ottawa,Strategic
160,"Horne, Nelson and Thomas",Government,Remote,Strategic
161,Norman LLC,Government,Ottawa,Collaborator
162,Fuentes-Cole,Government,Toronto,Strategic
163,"Haas, Hernandez and Soto",Government,Remote,Strategic
164,"Clarke, Norris and Wyatt",Government,Toronto,Collaborator
165,Turner-Daniel,Private,Ottawa,Collaborator
166,Powell Group,Government,Toronto,Strategic
167,Smith-Lopez,Private,Ottawa,Strategic
168,"Contreras, Harvey and Dyer",Private,Toronto,Strategic
169,"Martinez, Larsen and Ortiz",Government,Vancouver,Strategic
170,Osborn-Goodman,Private,Vancouver,Strategic
171,Howe LLC,Private,Ottawa,Collaborator
172,Pope Inc,Government,Ottawa,Strategic
173,Evans LLC,Government,Toronto,Strategic
174,"James, Lucas and Carter",Private,Toronto,Collaborator
175,Baker Group,Government,Remote,Strategic
176,"Sanchez, White and Guerrero",Private,Vancouver,Strategic
177,"Gordon, Blair and Austin",Government,Vancouver,Strategic
178,Grant Inc,Government,Vancouver,Strategic
179,Daniel-Jimenez,Government,Ottawa,Collaborator
180,Pearson-Owens,Private,Toronto,Collaborator
181,Hanson-Stephenson,Government,Remote,Collaborator
182,Mills-Copeland,Private,Toronto,Strategic
183,"Leach, Watkins and Gates",Government,Toronto,Strategic
184,Mills PLC,Government,Vancouver,Strategic
185,Harrison-Robinson,Private,Ottawa,Collaborator
186,"Colon, Bell and Mack",Private,Ottawa,Strategic
187,Simon-Tucker,Government,Ottawa,Strategic
188,"Sanchez, Grant and Cross",Government,Remote,Strategic
189,"Gray, Martin and Manning",Private,Toronto,Strategic
190,Davis-Alvarado,Private,Ottawa,Collaborator
191,Brown Group,Government,Remote,Strategic
192,Butler Ltd,Government,Toronto,Collaborator
193,Parker-Mack,Private,Vancouver,Collaborator
194,"Edwards, Craig and Douglas",Private,Remote,Collaborator
195,"Johnson, Smith and Reeves",Government,Vancouver,Collaborator
196,"Ford, Alexander and Martinez",Government,Vancouver,Collaborator
197,Johnston PLC,Government,Ottawa,Collaborator
198,Flowers Inc,Government,Vancouver,Collaborator
199,Jones-Lowery,Private,Vancouver,Strategic
200,"Caldwell, Crosby and Walker",Private,Remote,Strategic
201,"Dunn, Carter and Herrera",Government,Ottawa,Collaborator
202,"Woods, Rollins and Butler",Private,Toronto,Strategic
203,Morrison and Sons,Private,Remote,Strategic
204,"Rangel, Watkins and Green",Private,Toronto,Strategic
205,"Combs, Thomas and Humphrey",Private,Remote,Collaborator
206,"Roberts, Flynn and Burton",Government,Remote,Strategic
207,Banks and Sons,Government,Ottawa,Strategic
208,"Butler, Brown and Lewis",Private,Vancouver,Collaborator
209,"Smith, Sullivan and Torres",Government,Ottawa,Strategic
210,Jacobs-Norris,Private,Toronto,Collaborator
211,Brown-Anderson,Private,Toronto,Collaborator
212,"Stewart, Stevens and Brown",Government,Toronto,Collaborator
213,Anderson-Stone,Private,Ottawa,Collaborator
214,Thompson and Sons,Government,Ottawa,Strategic
215,Jackson Ltd,Government,Toronto,Strategic
216,"Taylor, Guzman and Murillo",Government,Ottawa,Strategic
217,Cameron PLC,Private,Ottawa,Strategic
218,"Buckley, Terry and Beasley",Government,Toronto,Collaborator
219,Ortiz and Sons,Private,Toronto,Collaborator
220,Cruz Group,Private,Toronto,Collaborator
221,"Thomas, Waters and Colon",Government,Ottawa,Collaborator
222,"Lindsey, Edwards and Rivera",Government,Remote,Strategic
223,Steele Inc,Private,Vancouver,Strategic
224,Gonzales Inc,Private,Ottawa,Strategic
225,Johnson Inc,Government,Vancouver,Collaborator
226,Baker-Gates,Private,Toronto,Strategic
227,Parks-Robinson,Government,Vancouver,Collaborator
228,Acosta Group,Government,Vancouver,Strategic
229,Crawford Group,Government,Vancouver,Collaborator
230,Gibbs PLC,Private,Ottawa,Collaborator
231,Arnold-Johnson,Private,Remote,Collaborator
232,"Kramer, Hayes and Thompson",Government,Remote,Strategic
233,"Watkins, Richard and Weiss",Government,Vancouver,Strategic
234,"Olson, Peterson and Mclaughlin",Government,Vancouver,Collaborator
235,"Johnson, Park and Moran",Government,Remote,Strategic
236,"Alexander, Ryan and Potter",Private,Vancouver,Collaborator
237,"Leon, Martinez and Green",Government,Toronto,Strategic
238,Howard-Hamilton,Private,Toronto,Strategic
239,James LLC,Government,Toronto,Strategic
240,Barber Ltd,Private,Vancouver,Collaborator
241,"Velez, Haas and Garcia",Government,Ottawa,Strategic
242,"Perez, White and Allen",Private,Remote,Strategic
243,"Clark, Marshall and Thompson",Government,Vancouver,Collaborator
244,Anderson Group,Government,Toronto,Collaborator
245,Pierce-Sandoval,Government,Ottawa,Collaborator
246,"Flores, Stevenson and Leach",Private,Ottawa,Collaborator
247,"Garcia, Dunn and Rodriguez",Government,Toronto,Strategic
248,Graham and Sons,Private,Remote,Strategic
249,Moore-Carney,Private,Toronto,Strategic
250,"Perry, Nguyen and Wheeler",Private,Remote,Collaborator
251,"Mahoney, Cherry and Hughes",Government,Ottawa,Collaborator
252,"Golden, Walker and Holt",Government,Ottawa,Strategic
253,Henderson Group,Private,Ottawa,Collaborator
254,Harris and Sons,Government,Vancouver,Strategic
255,Cruz-Fields,Private,Toronto,Strategic
256,Chan LLC,Government,Toronto,Collaborator
257,"Lawson, Jacobs and Willis",Private,Ottawa,Strategic
258,Ward-Buck,Government,Remote,Collaborator
259,Matthews LLC,Government,Toronto,Strategic
260,Brown Group,Government,Ottawa,Strategic
261,"Weeks, Wright and Brown",Government,Toronto,Collaborator
262,"Turner, Arnold and Williams",Private,Ottawa,Collaborator
263,Mason-Nelson,Government,Remote,Strategic
264,Freeman PLC,Government,Toronto,Collaborator
265,Watson PLC,Private,Toronto,Strategic
266,Hensley-Richard,Government,Remote,Strategic
267,Simmons Ltd,Government,Remote,Collaborator
268,"Oconnor, Francis and Day",Government,Vancouver,Strategic
269,Castillo-Estrada,Private,Ottawa,Strategic
270,"Thomas, Hamilton and Medina",Private,Ottawa,Collaborator
271,"Myers, Hopkins and Walters",Government,Remote,Strategic
272,"Green, Anderson and Morales",Private,Ottawa,Strategic
273,"Collins, Brown and Armstrong",Private,Toronto,Strategic
274,"Nunez, Cook and Houston",Government,Vancouver,Strategic
275,"Tyler, Bray and Rodriguez",Private,Ottawa,Strategic
276,"Valentine, Duncan and Hoffman",Government,Vancouver,Strategic
277,"Perkins, Johnson and Taylor",Government,Ottawa,Strategic
278,Sanders Ltd,Private,Remote,Strategic
279,Chapman-Hodges,Government,Vancouver,Strategic
280,"Walker, Johnson and Blevins",Government,Remote,Strategic
281,"Hayden, Stewart and Mitchell",Government,Ottawa,Strategic
282,"Anthony, Marshall and Webb",Government,Ottawa,Strategic
283,Johnson Group,Private,Remote,Collaborator
284,"Martin, Bennett and Williams",Private,Vancouver,Collaborator
285,"Hill, Adams and Delacruz",Government,Vancouver,Collaborator
286,King Group,Government,Ottawa,Strategic
287,Morris-Price,Government,Remote,Collaborator
288,"Gallegos, Reese and Martin",Private,Vancouver,Collaborator
289,Weaver PLC,Private,Toronto,Strategic
290,Duffy-Perez,Government,Vancouver,Strategic
291,Kline-Gomez,Private,Remote,Strategic
292,"Jackson, Humphrey and Rowland",Private,Ottawa,Collaborator
293,Hall LLC,Private,Vancouver,Collaborator
294,"Evans, Cain and Barron",Government,Vancouver,Strategic
295,Palmer PLC,Private,Vancouver,Collaborator
296,Swanson-Chang,Government,Toronto,Collaborator
297,Ramsey Group,Private,Remote,Strategic
298,Adkins PLC,Government,Toronto,Collaborator
299,Myers-Cook,Government,Remote,Strategic
300,"Raymond, West and Roman",Private,Vancouver,Strategic
301,Beltran-Wood,Private,Vancouver,Strategic
302,Cook-Harris,Private,Toronto,Collaborator
303,Rivera-Mendoza,Private,Ottawa,Collaborator
304,Chang PLC,Private,Vancouver,Collaborator
305,Russell and Sons,Private,Ottawa,Strategic
306,Perez-Lewis,Private,Remote,Strategic
307,"Solomon, Stewart and Mitchell",Private,Remote,Strategic
308,Lowe-Swanson,Private,Remote,Collaborator
309,"Anderson, Oneill and Robinson",Private,Vancouver,Strategic
310,Savage-Murphy,Private,Vancouver,Strategic
311,"Weiss, Acevedo and Lowe",Government,Toronto,Strategic
312,Phelps and Sons,Government,Toronto,Strategic
313,Clay-Thompson,Private,Ottawa,Collaborator
314,"Martin, King and Barber",Private,Ottawa,Collaborator
315,"Allen, Koch and Aguilar",Government,Vancouver,Strategic
316,"Cooper, Welch and Brown",Private,Ottawa,Collaborator
317,Ward Inc,Government,Toronto,Collaborator
318,Jarvis Ltd,Private,Remote,Strategic
319,Miller-Cole,Government,Remote,Collaborator
320,Schmidt-Henry,Private,Toronto,Collaborator
321,"Myers, Hall and Riley",Government,Vancouver,Collaborator
322,Kelly-Schmidt,Private,Vancouver,Collaborator
323,Long Inc,Private,Vancouver,Strategic
324,"Beltran, Wilson and Curtis",Private,Ottawa,Collaborator
325,Jackson Inc,Government,Ottawa,Strategic
326,Rogers PLC,Government,Vancouver,Strategic
327,"Williams, Fuentes and Sanchez",Government,Vancouver,Collaborator
328,Herrera-Lyons,Private,Remote,Collaborator
329,"Harris, Romero and Morris",Private,Remote,Strategic
330,Reynolds-Dodson,Government,Vancouver,Strategic
331,"Huerta, Torres and Curtis",Private,Remote,Strategic
332,"Lane, Peterson and Hancock",Government,Toronto,Collaborator
333,"Lewis, White and Thompson",Private,Toronto,Strategic
334,Hampton-Reeves,Private,Ottawa,Collaborator
335,"Beltran, Howell and Cooper",Government,Remote,Strategic
336,Howell LLC,Government,Ottawa,Collaborator
337,Cherry-Meyer,Private,Toronto,Strategic
338,"Lewis, Wong and Scott",Private,Toronto,Strategic
339,"Gonzalez, Perry and Ruiz",Government,Ottawa,Strategic
340,Anderson-Cobb,Government,Remote,Strategic
341,"Solis, Turner and Smith",Government,Vancouver,Collaborator
342,Lee LLC,Private,Toronto,Strategic
343,Hale-Glover,Government,Toronto,Collaborator
344,Jackson-Barnett,Government,Remote,Strategic
345,Smith Inc,Private,Ottawa,Strategic
346,Ruiz and Sons,Government,Vancouver,Strategic
347,Howell and Sons,Private,Vancouver,Strategic
348,Pena Group,Government,Vancouver,Strategic
349,"Webb, Adams and Hawkins",Government,Toronto,Strategic
350,"Collins, Hopkins and Franklin",Private,Ottawa,Collaborator
351,"Bowen, Erickson and White",Private,Toronto,Collaborator
352,Wallace Group,Private,Remote,Collaborator
353,"Sullivan, Owen and Patel",Government,Remote,Strategic
354,King Group,Private,Remote,Strategic
355,Howard-Cole,Private,Remote,Collaborator
356,Middleton Inc,Government,Toronto,Collaborator
357,Ross-Warner,Private,Remote,Collaborator
358,Schneider-Wilkerson,Private,Ottawa,Strategic
359,"Stevens, Burke and Foley",Private,Remote,Collaborator
360,"Nash, Thompson and King",Private,Vancouver,Collaborator
361,Farley Ltd,Government,Toronto,Strategic
362,King Group,Government,Toronto,Strategic
363,"James, Crawford and Patterson",Government,Vancouver,Strategic
364,Cole Group,Private,Ottawa,Strategic
365,"Smith, Gray and Campos",Private,Ottawa,Strategic
366,Harris LLC,Government,Remote,Strategic
367,"Page, Rangel and Perkins",Private,Remote,Collaborator
368,"Hall, Richardson and Cochran",Government,Ottawa,Strategic
369,Chambers-Mills,Government,Toronto,Strategic
370,Garcia-Jacobs,Government,Remote,Collaborator
371,"Fox, Ramirez and Gonzalez",Government,Ottawa,Strategic
372,"Zimmerman, Giles and Mason",Government,Toronto,Strategic
373,Perez-May,Government,Remote,Strategic
374,Elliott Inc,Government,Toronto,Collaborator
375,"Robertson, Lane and Baldwin",Government,Vancouver,Strategic
376,Garner-Rodriguez,Private,Vancouver,Strategic
377,Smith-Kelly,Private,Toronto,Strategic
378,Wheeler-Carney,Private,Ottawa,Strategic
379,Aguilar and Sons,Government,Ottawa,Strategic
380,Duran-Sanders,Private,Vancouver,Collaborator
381,Delacruz-Martin,Government,Remote,Collaborator
382,"Carter, Jones and Powell",Private,Ottawa,Collaborator
383,Greene-Smith,Government,Remote,Strategic
384,Thompson LLC,Private,Vancouver,Strategic
385,Cox-Deleon,Private,Remote,Collaborator
386,"Bowers, Mcdowell and Johnson",Private,Vancouver,Strategic
387,Parsons-Montes,Private,Remote,Collaborator
388,Kaiser LLC,Government,Ottawa,Strategic
389,"Wheeler, Patel and Murray",Government,Toronto,Strategic
390,"Shepard, Richardson and Hays",Government,Toronto,Collaborator
391,"Roberts, Peterson and Walker",Government,Vancouver,Collaborator
392,Lewis Group,Government,Vancouver,Collaborator
393,"Williamson, Adams and Gonzalez",Government,Toronto,Strategic
394,"Thompson, Walker and Alvarez",Government,Toronto,Collaborator
395,"Miles, Berry and Harrington",Private,Toronto,Collaborator
396,"Hicks, Sanders and Woodward",Government,Remote,Strategic
397,"Ward, Maxwell and Carlson",Government,Remote,Collaborator
398,Marks-Lee,Private,Vancouver,Collaborator
399,Wilson PLC,Private,Remote,Collaborator
400,Washington Inc,Government,Remote,Strategic
401,Hamilton-Gilmore,Private,Remote,Strategic
402,Ellis and Sons,Private,Remote,Strategic
403,"Knapp, Le and Byrd",Private,Remote,Collaborator
404,Lopez-Alexander,Private,Vancouver,Collaborator
405,"Cabrera, Boyd and Davis",Private,Remote,Collaborator
406,Mejia-Reid,Government,Ottawa,Strategic
407,Mclean Inc,Government,Toronto,Strategic
408,Fields Inc,Private,Toronto,Collaborator
409,Rodriguez-White,Government,Vancouver,Collaborator
410,Khan Inc,Government,Ottawa,Strategic
411,Phillips-Liu,Government,Ottawa,Strategic
412,Phillips Inc,Private,Ottawa,Collaborator
413,"Sanders, Cline and Oneill",Government,Remote,Collaborator
414,"Gross, Moore and Cooper",Private,Ottawa,Collaborator
415,Pace-Martin,Private,Remote,Collaborator
416,"Smith, Mcknight and Turner",Private,Toronto,Collaborator
417,Woods-Maddox,Private,Toronto,Collaborator
418,Rogers Ltd,Government,Toronto,Strategic
419,Young-Campbell,Government,Ottawa,Strategic
420,Malone-Vaughn,Private,Remote,Collaborator
421,Clark-Donovan,Government,Toronto,Collaborator
422,"Martinez, Grant and Nelson",Private,Remote,Collaborator
423,Torres and Sons,Government,Ottawa,Strategic
424,"Glover, Rodriguez and Gonzalez",Private,Remote,Strategic
425,"Green, Odom and Jones",Private,Vancouver,Collaborator
426,Harvey-Vazquez,Government,Remote,Collaborator
427,"Winters, Long and Phillips",Private,Ottawa,Strategic
428,"Beard, Smith and Thomas",Private,Vancouver,Strategic
429,Watts Group,Private,Vancouver,Strategic
430,"Moses, Gibson and Hardin",Government,Vancouver,Collaborator
431,"Schwartz, Mann and Perez",Government,Remote,Collaborator
432,Miller-Moreno,Government,Remote,Strategic
433,Williams-Phillips,Private,Vancouver,Collaborator
434,"Johnson, Singleton and Vargas",Government,Ottawa,Collaborator
435,"Vazquez, Lewis and Murphy",Government,Remote,Strategic
436,Bryant and Sons,Government,Toronto,Strategic
437,"Miller, Perez and Hopkins",Private,Vancouver,Strategic
438,"Murphy, Mueller and Mann",Government,Vancouver,Strategic
439,Campbell Group,Government,Vancouver,Collaborator
440,"Chambers, Mora and Harrison",Private,Ottawa,Collaborator
441,"Webb, Garcia and Clark",Government,Toronto,Strategic
442,"Hobbs, Reynolds and Johnson",Government,Ottawa,Collaborator
443,"Harris, Nelson and Ford",Private,Toronto,Strategic
444,"Ramsey, Tucker and Edwards",Private,Toronto,Strategic
445,Martin-Johnston,Private,Ottawa,Collaborator
446,Bender Ltd,Government,Remote,Collaborator
447,Harris PLC,Private,Vancouver,Collaborator
448,"Solomon, Sandoval and Graham",Private,Toronto,Collaborator
449,"Hawkins, Lee and Adkins",Government,Vancouver,Strategic
450,Robinson LLC,Government,Ottawa,Collaborator
451,Davis-Jordan,Private,Toronto,Strategic
452,Durham-Torres,Private,Vancouver,Strategic
453,Jones and Sons,Private,Toronto,Strategic
454,Payne Ltd,Government,Ottawa,Strategic
455,Valdez-Green,Government,Ottawa,Strategic
456,Jones LLC,Private,Toronto,Strategic
457,Bailey-Yang,Government,Vancouver,Collaborator
458,Carter LLC,Private,Vancouver,Strategic
459,Anderson Ltd,Private,Vancouver,Strategic
460,Day-Hernandez,Private,Vancouver,Collaborator
461,Allen LLC,Private,Toronto,Strategic
462,Conrad-Garcia,Private,Remote,Collaborator
463,"Lane, Rogers and Rivera",Government,Ottawa,Collaborator
464,Spencer-Brady,Private,Toronto,Strategic
465,Black-Maynard,Private,Toronto,Collaborator
466,Bradley-Smith,Private,Vancouver,Collaborator
467,Turner-Ellis,Government,Remote,Strategic
468,Morgan-Miller,Private,Ottawa,Strategic
469,Jackson-Jacobs,Government,Ottawa,Collaborator
470,Smith-Santiago,Private,Vancouver,Strategic
471,Smith Inc,Private,Ottawa,Collaborator
472,Gilmore-Oliver,Government,Remote,Strategic
473,Miller-Miller,Government,Toronto,Strategic
474,Joyce-Kelly,Private,Toronto,Collaborator
475,"Lee, Mcdonald and Hall",Private,Toronto,Strategic
476,Freeman-Olson,Private,Remote,Strategic
477,Alvarez-Costa,Government,Remote,Collaborator
478,Le-Gibson,Government,Remote,Strategic
479,Phillips-Charles,Private,Remote,Strategic
480,"Howard, Clements and Lopez",Government,Toronto,Strategic
481,Holloway-Jackson,Government,Toronto,Strategic
482,Warner-Santos,Government,Remote,Collaborator
483,Robinson-Howard,Private,Toronto,Collaborator
484,Gomez-Rodriguez,Government,Vancouver,Collaborator
485,Kim Inc,Private,Remote,Strategic
486,Jones-Petersen,Private,Ottawa,Strategic
487,Garrett Inc,Government,Vancouver,Strategic
488,Harding PLC,Government,Toronto,Strategic
489,"Evans, Frazier and Medina",Government,Ottawa,Strategic
490,Andrews-Foster,Government,Vancouver,Strategic
491,Lawrence-Lee,Private,Toronto,Collaborator
492,Lewis-Smith,Government,Vancouver,Collaborator
493,Sullivan Group,Government,Toronto,Collaborator
494,"Reyes, Dunn and Bush",Private,Ottawa,Strategic
495,"Schmitt, Davis and Franklin",Government,Remote,Collaborator
496,Jackson and Sons,Government,Vancouver,Collaborator
497,Estrada-Kennedy,Government,Toronto,Strategic
498,Dixon-Watts,Government,Remote,Collaborator
499,Johnson-Molina,Private,Vancouver,Strategic
500,King-Morgan,Government,Ottawa,Strategic
501,Lloyd-Munoz,Government,Vancouver,Collaborator
502,Robertson-Ford,Government,Vancouver,Collaborator
503,"Young, Watkins and Jenkins",Government,Vancouver,Strategic
504,"Riley, Wells and Cole",Government,Ottawa,Collaborator
505,"Gamble, Hill and Watson",Private,Vancouver,Collaborator
506,Mullins Ltd,Private,Ottawa,Collaborator
507,"Shepard, Barnes and Carpenter",Government,Vancouver,Collaborator
508,Vargas PLC,Private,Ottawa,Strategic
509,"Patterson, Rose and Kaufman",Government,Ottawa,Collaborator
510,Moreno-Sawyer,Private,Ottawa,Collaborator
511,Fritz-Martin,Government,Vancouver,Collaborator
512,"Hubbard, Thomas and Wilkinson",Private,Ottawa,Collaborator
513,Sherman PLC,Private,Ottawa,Strategic
514,"Lopez, Orr and Rush",Private,Ottawa,Collaborator
515,"Wu, Taylor and Gray",Government,Ottawa,Strategic
516,"Carson, Simmons and Carpenter",Government,Toronto,Collaborator
517,"Waters, Murray and Carlson",Government,Vancouver,Strategic
518,"Doyle, Morris and Sanchez",Private,Ottawa,Collaborator
519,Nicholson PLC,Private,Remote,Collaborator
520,Williams LLC,Government,Vancouver,Collaborator
521,West PLC,Government,Vancouver,Strategic
522,Preston and Sons,Private,Remote,Strategic
